E(keV)	Px(MeV/c)	Py(MeV/c)	Pz(MeV/c)	X(mm)	Y(mm)	Z(mm)	T(ns)
0.00564296	0.0146869	0.00371838	1.0919	0.0391335	0.988725	-1.49009e-09	476.631	
0.00564081	0.00282956	-0.00253002	1.09179	0.411339	0.302567	-1.49009e-09	476.027	
0.00564883	0.00313778	-0.00734186	1.09255	0.642099	-0.920688	-1.49009e-09	476.817	
0.00564984	0.0483193	0.00140073	1.0916	-0.538884	-1.65768	-1.49009e-09	480.22	
0.00565433	-0.0756088	-0.00391372	1.09048	1.04714	0.146133	-1.49009e-09	480.82	
0.00562769	0.0512332	0.0316911	1.08887	-2.22697	-0.522751	-1.49009e-09	474.826	
0.00565332	-0.0138214	-0.00224533	1.09292	0.84592	0.177758	-1.49009e-09	478.04	
0.00564598	-0.0226724	0.00605184	1.09205	0.85582	-2.41104	-1.49009e-09	477.583	
0.00563838	0.00715175	0.0113604	1.09148	2.38903	-1.25311	-1.49009e-09	474.905	
0.00562725	-0.0317516	0.0195923	1.08985	-2.04953	1.87479	-1.49009e-09	474.687	
0.00563301	0.0458622	-0.00440681	1.09007	-0.244288	1.32711	-1.49009e-09	475.98	
0.00562296	-0.0247019	-0.0107547	1.08974	-0.605964	-0.391581	-1.49009e-09	473.588	
0.00565309	-0.0464449	0.0214835	1.09179	1.15356	-0.562385	-1.49009e-09	478.812	
0.00564549	0.0578354	0.00604641	1.0907	-3.00713	-0.370279	-1.49009e-09	477.515	
0.00563034	0.0034144	-0.00751125	1.09076	0.429622	-1.58528	-1.49009e-09	474.554	
0.00565335	-0.0587625	0.000721709	1.09143	2.22346	0.270038	-1.49009e-09	481.047	
0.00564597	0.0258146	0.0152453	1.09189	0.00718763	0.142336	-1.49009e-09	477.311	
0.0056315	0.0429874	0.00838867	1.09002	1.03095	0.12161	-1.49009e-09	476.035	
0.00564946	-0.0372288	0.00662696	1.09198	-0.869364	-0.888146	-1.49009e-09	479.181	
0.00564182	-0.0311076	-0.00827204	1.09142	0.117463	-0.567549	-1.49009e-09	476.707	
0.00563119	0.0147463	0.00545254	1.09076	1.16306	0.472069	-1.49009e-09	473.807	
0.00565454	0.0187871	0.00274579	1.09296	0.423817	0.276778	-1.49009e-09	477.937	
0.00566204	-0.0844691	0.0337772	1.09006	-2.85733	0.304104	-1.49009e-09	481.764	
0.00564036	-0.055635	0.0109555	1.09028	1.11738	0.0545371	-1.49009e-09	476.444	
0.00565387	-0.0232597	0.00488568	1.09281	1.0739	-1.14459	-1.49009e-09	478.858	
0.00564051	0.0447853	-0.0135814	1.09077	-1.87536	0.472564	-1.49009e-09	476.965	
0.00564133	-0.0546572	0.00755387	1.09046	2.35644	-1.13836	-1.49009e-09	477.373	
0.00564578	-0.0124741	0.00682033	1.09219	0.329173	-0.0383057	-1.49009e-09	476.253	
0.00564164	-0.096511	-0.00494409	1.0876	-5.92636	2.53262	-1.49009e-09	473.09	
